Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
,,135,"-95','18.130861",2014-07-07,18.130861,-95.0,0.215736208,Central America
,US-Mexico border crossing,136,"-112','32.316",2014-07-07,32.316,-112.0,0.806006079,North America
,US-Mexico border crossing,137,"-97.709747','26.92635612",2014-07-10,26.92635612,-97.709747,0.653917735,North America
13.0,Eastern Mediterranean,138,"26.921962','37.862031",2014-07-11,37.862031,26.921962,0.429502924,Mediterranean
,US-Mexico border crossing,139,"-98.18627898','26.99857326",2014-07-12,26.99857326,-98.18627898,0.430910503,North America
,Central Mediterranean,140,"13.2042','32.9511",2014-07-12,32.9511,13.2042,0.624433541,Mediterranean
,US-Mexico border crossing,141,"-112','31.62332",2014-07-13,31.62332,-112.0,0.840496479,North America
,US-Mexico border crossing,142,"-98','26.99000755",2014-07-14,26.99000755,-98.0,0.102993736,North America
12.0,Central Mediterranean,143,"15','33.6564",2014-07-14,33.6564,15.0,0.276349858,Mediterranean
60.0,,144,"115','6.35306",2014-07-15,6.35306,115.0,0.329670827,South-eastern Asia
90.0,Central Mediterranean,145,"14','32.8343",2014-07-17,32.8343,14.0,0.136101555,Mediterranean
61.0,Central Mediterranean,146,"13','33.2423",2014-07-17,33.2423,13.0,0.937846642,Mediterranean
,US-Mexico border crossing,147,"-113.00065','32.03617",2014-07-17,32.03617,-113.00065,0.823358688,North America
,US-Mexico border crossing,148,"-98','26.95573817",2014-07-18,26.95573817,-98.0,0.323694939,North America
1.0,Central Mediterranean,149,"31','31.5818",2014-07-19,31.5818,31.0,0.430927997,Mediterranean
104.0,Central Mediterranean,150,"14','33.4442",2014-07-19,33.4442,14.0,0.162830595,Mediterranean
569.0,Central Mediterranean,151,"14.2163','34.5821",2014-07-19,34.5821,14.2163,0.861299112,Mediterranean
61.0,Central Mediterranean,152,"14','36.3557",2014-07-21,36.3557,14.0,0.383430337,Mediterranean
,English Channel to the UK,153,"0','50.9584",2014-07-24,50.9584,0.0,0.790592442,Europe
,US-Mexico border crossing,154,"-111.6385','31.651",2014-07-24,31.651,-111.6385,0.072622199,North America
,US-Mexico border crossing,155,"-113.14252','32.37387",2014-07-26,32.37387,-113.14252,0.734715165,North America
,US-Mexico border crossing,156,"-111.533472','32.532056",2014-07-27,32.532056,-111.533472,0.019731697,North America
22.0,Central Mediterranean,157,"14','34.4666",2014-07-28,34.4666,14.0,0.243776427,Mediterranean
,US-Mexico border crossing,158,"-110.697817','31.6488",2014-07-30,31.6488,-110.697817,0.421920536,North America
,US-Mexico border crossing,159,"-112.05419','32.83222",2014-07-30,32.83222,-112.05419,0.541548413,North America
,US-Mexico border crossing,160,"-112.871417','31.949573",2014-07-31,31.949573,-112.871417,0.840998597,North America
,Sahara Desert crossing,161,"11.855727','26.163979",2014-07-31,26.163979,11.855727,0.326951351,Northern Africa
,,162,"48.122069','37.414959",2014-07-30,37.414959,48.122069,0.616267884,Southern Asia
,,163,"-96.606006','18.539117",2014-08-01,18.539117,-96.606006,0.865931051,Central America
,US-Mexico border crossing,164,"-111.4741','32.26839",2014-08-01,32.26839,-111.4741,0.915023038,North America
200.0,Central Mediterranean,165,"15.490763','33.499179",2014-08-03,33.499179,15.490763,0.277627925,Mediterranean
,US-Mexico border crossing,166,"-111.56971','32.04927",2014-08-04,32.04927,-111.56971,0.751116235,North America
,US-Mexico border crossing,167,"-111.526','32.54141",2014-08-05,32.54141,-111.526,0.115272346,North America
,US-Mexico border crossing,168,"-113.05333','32.197083",2014-08-05,32.197083,-113.05333,0.673964816,North America
,US-Mexico border crossing,169,"-111.997183','31.685017",2014-08-05,31.685017,-111.997183,0.706503083,North America
34.0,English Channel to the UK,170,"0.345211','51.4616",2014-08-16,51.4616,0.345211,0.99212953,Europe
,US-Mexico border crossing,171,"-111.78028','31.63525",2014-08-18,31.63525,-111.78028,0.096514072,North America
,US-Mexico border crossing,172,"-111.461233','31.489567",2014-08-21,31.489567,-111.461233,0.235885311,North America
19.0,Central Mediterranean,173,"13.7659','32.9212",2014-08-24,32.9212,13.7659,0.354741414,Mediterranean
73.0,Central Mediterranean,174,"15.8752','35.2823",2014-08-23,35.2823,15.8752,0.408353876,Mediterranean
,,175,"-80','25.8709",2014-08-24,25.8709,-80.0,0.77152073,Caribbean
364.0,Central Mediterranean,176,"14.0625','34.5671",2014-08-24,34.5671,14.0625,0.03885607,Mediterranean
,Central Mediterranean,177,"16.9189','34.3134",2014-08-22,34.3134,16.9189,0.386397846,Mediterranean
19.0,,178,"-80','26.2937",2014-08-25,26.2937,-80.0,0.911775783,Caribbean
,US-Mexico border crossing,179,"-112.12708','32.03905",2014-08-22,32.03905,-112.12708,0.372545558,North America
