Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
12.0,Western Balkans,2365,"20.2208588','44.6424911",2016-12-29,44.6424911,20.2208588,0.897354955,Europe
45.0,Western Mediterranean,2402,"-2.9240733','35.1761423",2017-01-04,35.1761423,-2.9240733,0.452770463,Mediterranean
2.0,US-Mexico border crossing,2422,"-99.41595','27.51984",2017-01-13,27.51984,-99.41595,0.328927236,North America
4.0,Central Mediterranean,2429,"12.6489293','33.0953228",2017-01-14,33.0953228,12.6489293,0.616734798,Mediterranean
2.0,Western Mediterranean,2430,"-2.9240733','35.1761423",2017-01-14,35.1761423,-2.9240733,0.747707203,Mediterranean
4.0,Western Mediterranean,2432,"-5.61058574','35.99913837",2017-01-14,35.99913837,-5.61058574,0.506583312,Mediterranean
7.0,Western Mediterranean,2433,"-5.29450409','35.92788216",2017-01-14,35.92788216,-5.29450409,0.815089987,Mediterranean
193.0,Central Mediterranean,2444,"16.6612232','33.6406863",2017-01-13,33.6406863,16.6612232,0.35970157,Mediterranean
2.0,US-Mexico border crossing,2455,"-99.5698487','27.4565378",2017-01-17,27.4565378,-99.5698487,0.984261755,Central America
299.0,Central Mediterranean,2501,"12.4152649','32.791284",2017-01-27,32.791284,12.4152649,0.938018175,Mediterranean
151.0,Central Mediterranean,2502,"13.39090756','35.39080447",2017-01-27,35.39080447,13.39090756,0.210091275,Mediterranean
1.0,US-Mexico border crossing,2506,"-117.28843784','32.83194576",2017-11-19,32.83194576,-117.28843784,0.816995207,North America
107.0,Central Mediterranean,2517,"13.98235393','34.40533394",2017-11-22,34.40533394,13.98235393,0.317508822,Mediterranean
11.0,Western Mediterranean,2519,"-2.1720646','36.7464316",2017-01-30,36.7464316,-2.1720646,0.246430407,Mediterranean
100.0,Horn of Africa to Yemen crossing,2538,"44.23737658','12.51080187",2017-02-03,12.51080187,44.23737658,0.068852006,Western Asia
100.0,Horn of Africa to Yemen crossing,2539,"44.11010742','12.51627394",2017-02-03,12.51627394,44.11010742,0.377910433,Western Asia
113.0,Central Mediterranean,2541,"13.1215797','32.8629706",2017-02-04,32.8629706,13.1215797,0.558462377,Mediterranean
45.0,Eastern Mediterranean,2545,"26.671927','39.343261",2017-02-05,39.343261,26.671927,0.686975532,Mediterranean
3.0,Western Mediterranean,2566,"-5.61539226','35.97469196",2017-02-12,35.97469196,-5.61539226,0.947240902,Mediterranean
2.0,Western Mediterranean,2578,"-5.79767559','35.85457182",2017-02-15,35.85457182,-5.79767559,0.614411734,Mediterranean
3.0,Dominican Republic to Puerto Rico,2596,"-69.040668','18.7658496",2017-02-21,18.7658496,-69.040668,0.303206922,Caribbean
5.0,Türkiye-Europe land route,2599,"26.2851702','40.9443915",2017-02-22,40.9443915,26.2851702,0.544937586,Western Asia
400.0,Central Mediterranean,2602,"12.0476696','33.010693",2017-02-23,33.010693,12.0476696,0.796957733,Mediterranean
1.0,US-Mexico border crossing,2604,"-108.3751176','32.1890936",2017-02-23,32.1890936,-108.3751176,0.616531033,North America
115.0,Central Mediterranean,2626,"13.4033901','32.9362462",2017-03-03,32.9362462,13.4033901,0.803525838,Mediterranean
178.0,Central Mediterranean,2627,"13.0488502','35.0991392",2017-03-04,35.0991392,13.0488502,0.427985571,Mediterranean
1.0,English Channel to the UK,2638,"2.27785776','50.99475146",2017-03-11,50.99475146,2.27785776,0.230601094,Europe
115.0,Horn of Africa to Yemen crossing,2643,"37.9691927','18.8122772",2017-03-17,18.8122772,37.9691927,0.920184887,Northern Africa
215.0,Central Mediterranean,2648,"12.0476696','33.010693",2017-03-19,33.010693,12.0476696,0.688575638,Mediterranean
117.0,Central Mediterranean,2650,"12.52618256','33.43357658",2017-03-19,33.43357658,12.52618256,0.517286104,Mediterranean
54.0,Central Mediterranean,2657,"12.2050495','32.8938676",2017-03-21,32.8938676,12.2050495,0.96266151,Mediterranean
9.0,Eastern Mediterranean,2662,"27.2401563','37.747294",2017-03-24,37.747294,27.2401563,0.443718804,Mediterranean
3.0,Western Mediterranean,2663,"-6.34656937','36.24883557",2017-03-24,36.24883557,-6.34656937,0.94334558,Mediterranean
141.0,Central Mediterranean,2674,"12.4152649','32.791284",2017-03-28,32.791284,12.4152649,0.037052753,Mediterranean
85.0,Central Mediterranean,2675,"12.6964611','32.7812306",2017-03-28,32.7812306,12.6964611,0.133041871,Mediterranean
148.0,Central Mediterranean,2688,"13.0488502','35.0991392",2017-04-07,35.0991392,13.0488502,0.751591595,Mediterranean
32.0,Western Mediterranean,2694,"-3.0364762','35.9395944",2017-04-11,35.9395944,-3.0364762,0.941030953,Mediterranean
6.0,Western Mediterranean,2696,"-5.32886576','36.02588252",2017-04-12,36.02588252,-5.32886576,0.118639924,Mediterranean
23.0,Central Mediterranean,2699,"13.1215797','32.8629706",2017-04-13,32.8629706,13.1215797,0.939894609,Mediterranean
101.0,Central Mediterranean,2703,"13.7044104','32.7921384",2017-04-15,32.7921384,13.7044104,0.66133851,Mediterranean
15.0,Afghanistan to Iran,2721,"56.6860238','29.6706007",2017-04-20,29.6706007,56.6860238,0.302135296,Southern Asia
2.0,Eastern Mediterranean,2725,"26.1667672','39.3660851",2017-04-24,39.3660851,26.1667672,0.368375563,Mediterranean
14.0,Western Balkans,2726,"24.8776355','41.1378552",2017-04-24,41.1378552,24.8776355,0.433568183,Europe
50.0,Central Mediterranean,2759,"12.7423968','35.5321535",2017-05-07,35.5321535,12.7423968,0.709447476,Mediterranean
7.0,Central Mediterranean,2760,"12.6964611','32.7812306",2017-05-07,32.7812306,12.6964611,0.697238231,Mediterranean
13.0,Comoros to Mayotte,2762,"44.757493','-12.5752601",2017-05-07,-12.5752601,44.757493,0.065173482,Eastern Africa
484.0,Central Mediterranean,2773,"13.30281545','35.20506085",2017-05-15,35.20506085,13.30281545,0.462895507,Mediterranean
6.0,Western Mediterranean,2774,"-5.77640296','35.84634379",2017-05-15,35.84634379,-5.77640296,0.368679178,Mediterranean
24.0,Western Mediterranean,2788,"-2.9471167','35.3142067",2017-05-19,35.3142067,-2.9471167,0.130170589,Mediterranean
4.0,Central Mediterranean,2790,"13.03502391','33.10325838",2017-05-19,33.10325838,13.03502391,0.4957993,Mediterranean
10.0,US-Mexico border crossing,2801,"-112.3889235','33.4566486",2017-05-25,33.4566486,-112.3889235,0.359411636,North America
126.0,Central Mediterranean,2816,"11.3382081','36.0163981",2017-05-27,36.0163981,11.3382081,0.442491403,Mediterranean
6.0,Sahara Desert crossing,2837,"12.4693292','19.2078834",2017-05-31,19.2078834,12.4693292,0.542423397,Western Africa
125.0,Central Mediterranean,2850,"13.1291587','36.63834894",2017-06-03,36.63834894,13.1291587,0.961702513,Mediterranean
7.0,Western Balkans,2856,"26.0817814','41.7309539",2017-06-04,41.7309539,26.0817814,0.66363521,Europe
91.0,Sahara Desert crossing,2868,"12.7798059','19.12634",2017-06-09,19.12634,12.7798059,0.551143072,Western Africa
79.0,Central Mediterranean,2870,"12.90189454','33.74674152",2017-06-10,33.74674152,12.90189454,0.854168137,Mediterranean
4.0,Central Mediterranean,2889,"17.73038778','32.15089731",2017-06-15,32.15089731,17.73038778,0.313527071,Mediterranean
25.0,Central Mediterranean,2899,"12.530664','32.8622936",2017-06-17,32.8622936,12.530664,0.772698672,Mediterranean
135.0,Central Mediterranean,2900,"12.530664','32.8622936",2017-06-17,32.8622936,12.530664,0.101619085,Mediterranean
2.0,Central Mediterranean,2931,"13.7145856','32.750388",2017-06-21,32.750388,13.7145856,0.432025223,Mediterranean
5.0,Sahara Desert crossing,2933,"14.4553448','27.0420458",2017-06-21,27.0420458,14.4553448,0.66499205,Northern Africa
71.0,Central Mediterranean,2935,"16.32440644','35.3621456",2017-06-22,35.3621456,16.32440644,0.758754514,Mediterranean
23.0,Sahara Desert crossing,2942,"13.06221859','20.76778273",2017-06-25,20.76778273,13.06221859,0.974791887,Western Africa
229.0,Central Mediterranean,2943,"17.5484844','34.8505039",2017-06-25,34.8505039,17.5484844,0.554281067,Mediterranean
5.0,Dominican Republic to Puerto Rico,2971,"-68.8987426','18.5368514",2017-06-29,18.5368514,-68.8987426,0.997243796,Caribbean
80.0,Central Mediterranean,2976,"12.0404865','36.0020933",2017-06-30,36.0020933,12.0404865,0.859164024,Mediterranean
1.0,US-Mexico border crossing,2996,"-98.35785','27.39193",2017-07-02,27.39193,-98.35785,0.357009366,North America
3.0,Western Mediterranean,3000,"-3.038769','35.9394333",2017-07-04,35.9394333,-3.038769,0.590106782,Mediterranean
65.0,Central Mediterranean,3013,"12.9583415','33.6262223",2017-07-08,33.6262223,12.9583415,0.510749817,Mediterranean
48.0,Western Mediterranean,3027,"-3.8708433','35.2873046",2017-07-11,35.2873046,-3.8708433,0.653239554,Mediterranean
29.0,US-Mexico border crossing,3063,"-98.55459899','29.45863204",2017-07-23,29.45863204,-98.55459899,0.028485495,North America
167.0,Central Mediterranean,3072,"12.64727601','34.11027342",2017-07-25,34.11027342,12.64727601,0.815476796,Mediterranean
9.0,Eastern Mediterranean,3080,"26.23782722','38.33222583",2017-07-27,38.33222583,26.23782722,0.424706578,Mediterranean
119.0,Central Mediterranean,3090,"12.56487855','33.72280155",2017-08-01,33.72280155,12.56487855,0.37241865,Mediterranean
11.0,Western Mediterranean,3111,"-5.37368802','35.91755606",2017-08-09,35.91755606,-5.37368802,0.955887286,Mediterranean
85.0,Horn of Africa to Yemen crossing,3113,"46.52724833','13.29441247",2017-08-09,13.29441247,46.52724833,0.763816398,Western Asia
141.0,Horn of Africa to Yemen crossing,3114,"46.36245341','13.24094704",2017-08-10,13.24094704,46.36245341,0.257672521,Western Asia
6.0,Comoros to Mayotte,3154,"44.7281983','-12.53038415",2017-08-20,-12.53038415,44.7281983,0.444522521,Eastern Africa
2.0,Syria to Türkiye,3169,"36.37398595','36.00660602",2017-08-23,36.00660602,36.37398595,0.116810247,Western Asia
14.0,US-Mexico border crossing,3170,"-98.2649222','26.08551377",2017-08-24,26.08551377,-98.2649222,0.58926299,Central America
1.0,Central Mediterranean,3191,"11.52050212','33.45539395",2017-08-30,33.45539395,11.52050212,0.478023232,Mediterranean
38.0,Western Mediterranean,3200,"-2.88728553','35.27209876",2017-08-31,35.27209876,-2.88728553,0.25061989,Mediterranean
4.0,Western Mediterranean,3246,"-5.38654398','35.96088265",2017-09-11,35.96088265,-5.38654398,0.03159941,Mediterranean
